1. 2009 TOYOTA CAMRY | Call For Price | Stock #: 10786 | Miles: 211,085
73. 2018 FORD F250 SUPER DUTY CREW CAB | $49,999 | Stock #: U28181 | Miles: 77,133
74. 2000 PORSCHE BOXSTER | $12,999 | Stock #: U28202 | Miles: 69,693
75. 2007 DODGE RAM 3500 MEGA CAB | $29,999 | Stock #: U28206 | Miles: 129,939
76. 2013 SCION FR-S | $11,999 | Stock #: U28225 | Miles: 97,234
77. 2015 SCION TC | $8,999 | Stock #: U28238 | Miles: 145,208
78. 2019 FORD RANGER SUPERCREW | $23,999 | Stock #: U28246 | Miles: 60,207
79. 2014 HONDA ODYSSEY | $12,999 | Stock #: U28269 | Miles: 100,313
80. 2021 DODGE CHALLENGER | $19,999 | Stock #: U28275 | Miles: 40,830
81. 2017 JEEP CHEROKEE | $14,999 | Stock #: U28279 | Miles: 81,429
82. 2020 CADILLAC ESCALADE | $29,999 | Stock #: U28283 | Miles: 110,895
83. 2015 CHEVROLET CAMARO | $19,999 | Stock #: U28290 | Miles: 45,870
84. 2013 DODGE DURANGO | $9,999 | Stock #: U28291 | Miles: 119,226
85. 2017 TOYOTA COROLLA | $11,999 | Stock #: U28292 | Miles: 119,493
86. 2016 FORD FLEX | $10,999 | Stock #: U28299 | Miles: 88,419
87. 2015 NISSAN ROGUE | $7,999 | Stock #: U28300 | Miles: 120,295
88. 2021 FORD F350 SUPER DUTY CREW CAB | $36,999 | Stock #: U28302 | Miles: 124,119
89. 2014 HONDA CIVIC | $8,999 | Stock #: U28313 | Miles: 99,557
90. 2018 TOYOTA COROLLA | $11,999 | Stock #: U28321 | Miles: 141,222
91. 2019 RAM 1500 CLASSIC QUAD CAB | $18,999 | Stock #: U28322 | Miles: 42,667
92. 2019 DODGE GRAND CARAVAN PASSENGER | $13,999 | Stock #: U28328 | Miles: 82,591
93. 2020 CHRYSLER PACIFICA | $18,999 | Stock #: U28331 | Miles: 48,103
94. 2016 BMW M4 | $42,999 | Stock #: U28338 | Miles: 43,712
95. 2020 CHEVROLET TRAVERSE | $15,999 | Stock #: U28339 | Miles: 98,224
96. 2014 FORD MUSTANG | $15,999 | Stock #: U28341 | Miles: 29,553
97. 2016 RAM 1500 CREW CAB | $21,999 | Stock #: U28342 | Miles: 85,646
98. 2016 TOYOTA 4RUNNER | $25,999 | Stock #: U28345 | Miles: 84,677
99. 2019 TOYOTA TACOMA DOUBLE CAB | $22,999 | Stock #: U28346 | Miles: 103,994
100. 2018 GMC SIERRA 2500 HD CREW CAB | $29,999 | Stock #: U28347 | Miles: 175,949
101. 2020 DODGE DURANGO | $15,999 | Stock #: U28351 | Miles: 109,327
102. 2018 TOYOTA 4RUNNER | $23,999 | Stock #: U28352 | Miles: 111,628
103. 2019 DODGE GRAND CARAVAN PASSENGER | $13,999 | Stock #: U28354 | Miles: 91,968
104. 2015 SUBARU BRZ | $12,999 | Stock #: U28359 | Miles: 121,463
105. 2018 CHEVROLET SILVERADO 1500 CREW CAB | $27,999 | Stock #: U28365 | Miles: 82,040
106. 2016 TOYOTA 4RUNNER | $25,999 | Stock #: U28369 | Miles: 99,052
107. 2022 HYUNDAI TUCSON | $18,999 | Stock #: U28372 | Miles: 46,437
108. 2015 TOYOTA COROLLA | $13,999 | Stock #: U28377 | Miles: 64,963
109. 2018 JEEP GRAND CHEROKEE | $13,999 | Stock #: U28381 | Miles: 116,916
110. 2016 GMC ACADIA | $9,999 | Stock #: U28384 | Miles: 126,795
111. 2013 CHEVROLET EQUINOX | $7,999 | Stock #: U28388 | Miles: 99,419
112. 2007 FORD EXPLORER SPORT TRAC | $10,999 | Stock #: U28389 | Miles: 112,082
113. 2021 CHEVROLET TRAVERSE | $10,999 | Stock #: U28392 | Miles: 120,071
114. 2020 KIA SOUL | $14,999 | Stock #: U28394 | Miles: 10,340
115. 2013 SCION FR-S | $15,999 | Stock #: U28395 | Miles: 47,772
116. 2019 DODGE DURANGO | $16,999 | Stock #: U28399 | Miles: 85,747
117. 2018 CHEVROLET EQUINOX | $9,999 | Stock #: U28401 | Miles: 117,100
118. 2004 HUMMER H2 | $14,999 | Stock #: U28405 | Miles: 60,342
119. 2016 SCION TC | $10,999 | Stock #: U28408 | Miles: 79,621
120. 2022 NISSAN SENTRA | $13,999 | Stock #: U28409 | Miles: 96,567
121. 2017 TOYOTA 86 | $15,999 | Stock #: U28412 | Miles: 98,711
122. 2019 NISSAN SENTRA | $9,999 | Stock #: U28413 | Miles: 92,758
123. 2019 DODGE DURANGO | $18,999 | Stock #: U28416 | Miles: 72,625
124. 2022 KIA SOUL | $14,999 | Stock #: U28417 | Miles: 62,752
125. 2020 NISSAN KICKS | $11,999 | Stock #: U28418 | Miles: 83,640
126. 2020 CHEVROLET MALIBU | $13,999 | Stock #: U28422 | Miles: 86,244
127. 2016 FORD MUSTANG | $21,999 | Stock #: U28423 | Miles: 92,048
128. 2018 CHEVROLET SILVERADO 3500 HD CREW CAB | $22,999 | Stock #: U28424 | Miles: 107,009
129. 2015 TOYOTA COROLLA | $10,999 | Stock #: U28427 | Miles: 118,396
130. 2018 DODGE JOURNEY | $9,999 | Stock #: U28428 | Miles: 120,176
131. 2019 FORD RANGER SUPERCREW | $23,999 | Stock #: U28430 | Miles: 120,795
132. 2018 TOYOTA COROLLA | $18,999 | Stock #: U28431 | Miles: 28,086
133. 2015 JEEP GRAND CHEROKEE | $13,999 | Stock #: U28432 | Miles: 94,096
134. 2021 NISSAN SENTRA | $13,999 | Stock #: U28433 | Miles: 96,626
135. 2013 HONDA ACCORD | $14,999 | Stock #: U28434 | Miles: 88,049
136. 2008 TOYOTA TUNDRA CREWMAX | $16,999 | Stock #: U28435 | Miles: 172,561
137. 2015 ACURA TLX | $10,999 | Stock #: U28437 | Miles: 111,513
138. 2015 DODGE DURANGO | $10,999 | Stock #: U28438 | Miles: 119,754
139. 2016 NISSAN ALTIMA | $10,999 | Stock #: U28439 | Miles: 97,998
140. 2019 CHEVROLET TRAVERSE | $20,999 | Stock #: U28440 | Miles: 84,028
141. 2015 GMC SIERRA 3500 HD CREW CAB | $30,999 | Stock #: U28441 | Miles: 177,417
142. 2017 CHRYSLER PACIFICA | $12,999 | Stock #: U28446 | Miles: 107,811
143. 2023 KIA FORTE | $15,999 | Stock #: U28448 | Miles: 31,470
144. 2014 FORD F150 SUPERCREW CAB | $18,999 | Stock #: U28449 | Miles: 108,664
145. 2021 GMC TERRAIN | $18,999 | Stock #: U28450 | Miles: 71,754
146. 2018 TOYOTA RAV4 HYBRID | Call For Price | Stock #: U28451 | Miles: 101,658
147. 2020 FORD EXPLORER | Call For Price | Stock #: U28452 | Miles: 82,754
148. 2001 TOYOTA TUNDRA ACCESS CAB | Call For Price | Stock #: U28453 | Miles: 146,647
149. 2022 SUBARU WRX | Call For Price | Stock #: U28454 | Miles: 34,697
150. 2021 GMC TERRAIN | Call For Price | Stock #: U28455 | Miles: 59,383
151. 2022 TOYOTA CAMRY | Call For Price | Stock #: U28457 | Miles: 30,528
152. 2018 TOYOTA CAMRY | Call For Price | Stock #: U28458 | Miles: 106,542
153. 2015 ACURA MDX | $13,999 | Stock #: U28459 | Miles: 37,956
154. 2021 CHEVROLET MALIBU | Call For Price | Stock #: U28460 | Miles: 107,772
155. 2015 FORD EXPLORER | Call For Price | Stock #: U28461 | Miles: 85,423
156. 2023 CHEVROLET MALIBU | Call For Price | Stock #: U28462 | Miles: 108,073
157. 2018 TOYOTA COROLLA | Call For Price | Stock #: U28463 | Miles: 78,383
158. 2020 FORD ECOSPORT | Call For Price | Stock #: U28464 | Miles: 84,177
159. 2014 CHEVROLET CAMARO | Call For Price | Stock #: U28465 | Miles: 47,247
160. 2018 KIA OPTIMA | Call For Price | Stock #: U28467 | Miles: 65,049
161. 2015 SUBARU WRX | Call For Price | Stock #: U28468 | Miles: 91,704
162. 2015 JEEP GRAND CHEROKEE | $13,999 | Stock #: U28469 | Miles: 32,469
163. 2019 CHEVROLET TRAVERSE | Call For Price | Stock #: U28470 | Miles: 118,840
164. 2022 TOYOTA TACOMA DOUBLE CAB | Call For Price | Stock #: U28471 | Miles: 53,005
165. 2026 GENESIS ELECTRIFIED GV70 | Call For Price | Stock #: U28472 | Miles: 125
166. 2013 GMC TERRAIN | Call For Price | Stock #: U28473 | Miles: 88,954
167. 2020 CHEVROLET TRAVERSE | Call For Price | Stock #: U28474 | Miles: 62,726
168. 2017 CHEVROLET IMPALA | Call For Price | Stock #: U28475 | Miles: 95,878
169. 2015 LEXUS RC | Call For Price | Stock #: U28476 | Miles: 99,556
